,importance,BasePair
C4'-OP1,91,GU
C4'-O4,91,GU
C4'-C2,91,GU
C4'-C1',80,GU
C4'-O2,80,GU
C4'-N3,86,GU
C4'-C6,7,GU
C4'-O5',90,GU
C4'-C3',86,GU
C4'-C5,1,GU
C4'-OP2,22,GU
C4'-C4',18,GU
C4'-P,87,GU
C4'-O2',79,GU
P-C2',83,GU
P-O3',79,GU
P-N1,90,GU
P-C5',37,GU
P-O4',75,GU
P-C4,77,GU
P-OP1,15,GU
P-O4,67,GU
P-C2,68,GU
P-C1',70,GU
P-O2,68,GU
P-N3,68,GU
P-C6,57,GU
P-O5',13,GU
P-C3',36,GU
P-C5,60,GU
P-OP2,7,GU
P-C4',59,GU
P-P,31,GU
P-O2',37,GU
O2'-C2',56,GU
O2'-O3',84,GU
O2'-N1,84,GU
O2'-C5',53,GU
O2'-O4',48,GU
O2'-C4,11,GU
O2'-OP1,32,GU
O2'-O4,27,GU
O2'-C2,78,GU
O2'-C1',65,GU
O2'-O2,74,GU
O2'-N3,69,GU
O2'-C6,31,GU
O2'-O5',8,GU
O2'-C3',38,GU
O2'-C5,21,GU
O2'-OP2,45,GU
O2'-C4',3,GU
O2'-P,17,GU
O2'-O2',22,GU
