,importance,BasePair
P-OP1,79,AA
P-N9,26,AA
P-N6,80,AA
P-C2,8,AA
P-C1',50,AA
P-C6,42,AA
P-N3,47,AA
P-O5',44,AA
P-C3',44,AA
P-C5,21,AA
P-OP2,25,AA
P-N7,56,AA
P-C4',59,AA
P-P,12,AA
P-O2',75,AA
O2'-C2',15,AA
O2'-C8,61,AA
O2'-O3',6,AA
O2'-N1,12,AA
O2'-C5',68,AA
O2'-O4',53,AA
O2'-C4,53,AA
O2'-OP1,14,AA
O2'-N9,16,AA
O2'-N6,32,AA
O2'-C2,48,AA
O2'-C1',48,AA
O2'-C6,26,AA
O2'-N3,42,AA
O2'-O5',18,AA
O2'-C3',43,AA
O2'-C5,42,AA
O2'-OP2,40,AA
O2'-N7,19,AA
O2'-C4',28,AA
O2'-P,13,AA
O2'-O2',92,AA
